"Depth","Time","Name","Data"
"1","0.541246125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.571024375","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.571760125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.572496250","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.609774875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.610510875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.611247125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.639775125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.640511000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.641246875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.671022625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.671758500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.672494750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.706026125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.706762375","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.707498250","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.744262625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.744999000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.776027000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
